week,65plus,18to49,50to64
1,64.66789668,8.856088561,26.47601476
2,63.59832636,9.414225941,26.9874477
3,63.63636364,9.333333333,27.03030303
4,63.21167883,9.635036496,27.15328467
5,63.62098139,9.813874788,26.56514382
6,60.09174312,11.69724771,28.21100917
7,60.10230179,11.25319693,28.64450128
8,57.14285714,12.28571429,30.57142857
9,53.84615385,13.37792642,32.77591973
10,52.58064516,13.22580645,34.19354839
11,48.4939759,14.15662651,37.34939759
12,48.70466321,13.73056995,37.56476684
13,45.06329114,17.21518987,37.72151899
14,42.91938998,17.86492375,39.21568627
15,43.56223176,16.9527897,39.48497854
16,45.03631961,17.91767554,37.04600484
17,43.49030471,18.8365651,37.67313019
18,44.13580247,18.20987654,37.65432099
19,42.91497976,20.24291498,36.84210526
20,47.6635514,19.62616822,32.71028037
21,44.375,21.25,34.375
22,44.8,19.2,36
23,43.43434343,23.23232323,33.33333333
24,45.78313253,22.89156627,31.3253012
25,45.45454545,20.77922078,33.76623377
26,41.42857143,22.85714286,35.71428571
27,41.83673469,24.48979592,33.67346939
28,46.92307692,21.53846154,31.53846154
29,42.30769231,21.97802198,35.71428571
30,45.22968198,20.14134276,34.62897527
31,45.25745257,21.13821138,33.60433604
32,46.52173913,18.91304348,34.56521739
33,48.54932302,17.98839458,33.4622824
34,50.08944544,17.17352415,32.73703041
35,49.82014388,17.44604317,32.73381295
36,50.57471264,15.70881226,33.7164751
37,53.09168443,14.92537313,31.98294243
38,53.15315315,14.86486486,31.98198198
39,55.63380282,14.08450704,30.28169014
40,56.81818182,15,28.18181818
41,56.88311688,12.72727273,30.38961039
42,56.23188406,13.04347826,30.72463768
43,57.29927007,13.86861314,28.83211679
